url,label
https://mozilla.co/careers,0
http://bankofamerica.com@o5a439gf.xyz/update,1
https://python.io/about,0
https://khanacademy.org/user/settings,0
http://microsoft-verify.yeo6p.pywh8.xyz/account/ea329h,1
http://facebook-recover.wd3x2.gq/account/kb6jy5,1
https://gnu.com/about,0
http://secure-fedex-wallet-suspend.qt06.click/https/1atm1?session=3qvbnk0scj&redirect=1,1
https://coursera.org/help,0
http://bankofamerica-secure.r5naz.work/account/4lls9k,1
https://figma.net/about,1
https://kernel.io/download,0
https://openai.org/contact,0
http://secure-fedex-verify-password.x6mv.top/https/fynet?session=uy56h2ff2z&redirect=1,1
http://secure-wellsfargo-account-recover.d5bg.tk/https/kmq8d?session=nb0xdkuugo&redirect=1,1
https://www.gnu.net/docs,0
https://redhat.dev/download,0
http://secure-wellsfargo-secure-password.xnn8.club/https/61py2?session=vg9353r4dt&redirect=1,1
http://facebook.com@blp7dgt6.win/password,1
https://blog.shopify.net/products/overview,0
https://app.mozilla.net/download/account/login?redirect=1,0
https://redhat.org/help,0
https://dropbox.com/careers,0
http://secure-instagram-billing-unlock.44qu.loan/https/nf57v?session=h2d3ls11q0&redirect=1,1
https://docs.notion.co/pricing?ref=4lr9tj,0
http://secure-irs-recover-billing.0xq0.tk/https/1jwy0?session=tn1qai0oq0&redirect=1,1
http://recover-update-zfc1k.ml/8j0kka,1
http://secure-ebay-recover-billing.xgua.cf/https/kvxt2?session=fho8cc98e3&redirect=1,1
http://secure-microsoft-login-confirm.2p31.top/https/ogwrv?session=z90472uqln&redirect=1,1
https://figma.org/articles/2025/security,0
https://notion.org,0
https://buff.ly/b9qcl3o,1
https://docs.wikipedia.co/contact,0
https://python.dev/search?q=python,0
https://dropbox.net/docs,0
https://airbnb.org/contact,0
http://secure-paypal-update-unlock.s3k3.click/https/37ov9?session=wxhvy3nuko&redirect=1,1
https://docs.trello.org/download,0
http://instagram-verify.2mjtc.33u0j.work/account/po94i4,1
https://stackoverflow.org,0
https://github.org/download,0
http://194.192.152.216/login/q3r1s,1
https://cutt.ly/ps4768t,1
http://secure-fedex-update-password.0s9a.tk/https/jygzc?session=uj1u5xi18t&redirect=1,1
http://signin-update-520up.loan/rb2ja2,1
https://www.redhat.net/articles/2025/security,0
http://bankofamerica-secure.ncu22.kb8oh.ml/account/l1zumk,1
http://ebay-billing.zjoig.ga/account/o58oaf,1
https://stackoverflow.net/products/overview?ref=v4x7y2,0
http://secure-apple-unlock-account.7a5j.win/https/kulc5?session=l36ug4zifg&redirect=1,1
https://blog.zoom.org/about,0
http://chase-suspend.71uha.club/account/6f6m2x,1
http://1.247.60.113/billing/o1va4,1
https://bit.ly/tbwgbz1,1
https://goo.gl/dzwavmc,1
https://github.io/search?q=python,0
https://microsoftsecure3.net/u7na,1
https://nytimes.io/docs,0
https://airbnb.io/articles/2025/security,0
http://apple.com@u3ttbuys.top/wallet,1
http://netflix-recover.p7rn3.j0qzo.gq/account/kpvidd,1
http://login-update-6zh6d.loan/u9zz99,1
http://secure-netflix-suspend-billing.8xtr.gq/https/5igzg?session=xoiyfoy0sx&redirect=1,1
http://26.204.19.47/signin/lf8sl,1
https://docs.dropbox.com/docs,1
https://app.redhat.com/help,0
https://app.cloudflare.org/account/login?redirect=1,0
